,FullRawTextPCM,FullRawText,Arg1_RawText,Arg2_RawText,arg1_rawTextPCM_alignment,arg2_raw_textPCM_alignment,connective_rawTextPCM_alignment
218,"If the money wey dey your bank account stop to support am, you fit quick collect am.
",mortgage-backed securities can be retired early if interest rates decline,mortgage-backed securities can be retired early,interest rates decline,"wey your am, collect money bank you fit support quick",the account stop,If
295,"Goverment dey count money as e take dey chop
",The goverment counts money as it is spent,The goverment counts money,it is spent,dey Goverment count money,e take chop,as
297,"Dodge dey count contract when dem award am
",Dodge counts contracts when they are awarded,Dodge counts contracts,they are awarded,Dodge count contract,dem award am,when
299,"Government don include money wey dem spend ontop house renovation, Dodge no dey do am again.
",The government includes money spent on residential renovation; Dodge doesn't,The government includes money spent on residential renovation,Dodge doesn't,"again. Government include money spend ontop house renovation,",Dodge don no do,
409,"APOSTLE PAUL talk sey : “ We dey notice each other only when we dey vex for cab
",noticing one another only when they jostle for cabs,noticing one another,they jostle for cabs,talk notice each other,we vex for cab,only when
466,"Who dey tell di truth? Everybody and nobody.
",Who's telling the truth? Everybody -- and nobody,Who's telling the truth,Everybody -- and nobody,Who dey tell di truth?,Everybody nobody. and nobody.,
499,"Recall Pinocchio, one female voice say see o! Jim Courter
","Remember Pinocchio?"" says a female voice. ""Consider Jim Courter",Remember Pinocchio,Consider Jim Courter,"see Pinocchio, o!",Recall Jim Courter,
511,"Oga, courter long nose short while oga Florio dey grow
",Mr. Courter's long nose shrinks while Mr. Florio's grows,Mr. Courter's long nose shrinks,Mr. Florio's grows,"Oga, Oga, courter long nose short dey",oga Florio dey grow,while
556,"She don dey si cheating before, but all dis one na yeye one.
","She had seen cheating before, but these notes were uncanny",She had seen cheating before,these notes were uncanny,"She don si cheating before,",all one. dis one yeye one.,but
613,"She na one inspiration lady and she arrange all of dem togeder
",She was an inspirational lady; she had it all together,She was an inspirational lady,she had it all together,She na one inspiration arrange lady and,she arrange dem all togeder,
651,"No be sey I really believe sey dis world go soon end.
",Not really. I believe in the system,Not really,I believe in the system,No really end.,I believe end. go world,
877,"APOSTLE PAUL talk am yesterday after market close
",Yesterday's announcement was made after markets closed,Yesterday's announcement was made,markets closed,PAUL yesterday talk APOSTLE am,market close,after
903,"Na pressure tactics na im we dey use, we ready to negotiate.
","it's using pressure tactics. ""We're willing to negotiate",it's using pressure tactics,We're willing to negotiate,"Na na we use, pressure tactics negotiate.","dey use, we ready to negotiate.",
916,"Cosby dey get di station highest rating and e dey beg.
","Cosby"" gets the station's highest ratings and he's ""pleased","Cosby"" gets the station's highest ratings","he's ""pleased",Cosby dey get di dey station highest rating,e dey beg. dey beg.,and
920,"Wetin go happen after you flush your toilet?
",as what happens after you flush your toilet,as what happens,you flush your toilet,Wetin go happen,you flush your toilet?,after
940,"I no know and I no care.
",I don't know and I don't care,I don't know,I don't care,I no care. know,I no care.,and
1039,"Ehen na high one, but I go collect am.
","yes, it's high but I'll take it","yes, it's high",I'll take it,"Ehen one, am. Ehen na one, high",I go collect am.,but
1044,"We get two six pack o, de don go.
",We got our two six-packs -- and they're gone,We got our two six-packs,they're gone,We get two six pack go.,don go.,de
1057,"De no go buy if di quality no dey dere.
",They won't buy if the quality is not there,They won't buy,the quality is not there,De no go dere. buy,di quality dey no dere.,if
1063,"With wetin dey sell, and wetin no dey sell
",with what sells and what doesn't,with what sells,what doesn't,"With wetin wetin sell,",wetin wetin no sell,and
1072,"Wetin dey hot, and wetin no dey hot.
",what's hot -- and what's not,what's hot,what's not,"Wetin dey hot,",wetin dey no,and
1103,": to sell Tuesday and to mature Nov. 15, 1992
","to be auctioned Tuesday and to mature Nov. 15, 1992",to be auctioned Tuesday,"to mature Nov. 15, 1992",to : sell Tuesday,"to mature Nov. 15, 1992",and
1104,": to sell Wednesday and to mature Nov. 15, 1999
","to be auctioned Wednesday and to mature Nov. 15, 1999",to be auctioned Wednesday,"to mature Nov. 15, 1999",to : sell Wednesday,"to mature Nov. 15, 1999",and
1105,": to sell Thursday and to mature Aug. 15, 2019
","to be auctioned Thursday and to mature Aug. 15, 2019",to be auctioned Thursday,"to mature Aug. 15, 2019",to : sell Thursday,"to mature Aug. 15, 2019",and
1157,"Dr. Kligman patented di medicine when e dey work for university
",Dr. Kligman patented the medicine while employed by the University,Dr. Kligman patented the medicine,employed by the University,Dr. Kligman patented di medicine,work for e university,when
1297,"12 Stop the Trade 12
",to shut off the programs when trading becomes too volatile,to shut off the programs,trading becomes too volatile,12 Stop the Trade,12,by dis time
1329,"dey watch the rope wey dey the other ropes and as time dey go, the rope go dey pull am
",to watch the other ropes and thus time their pulls,to watch the other ropes,and time their pulls,dey watch the other ropes,Text Not Found,as
1369,": dat one go attract men come kill dem after you don sleep with dem
",that attract males and then kill them after mating,that attract males,and kill them after mating,: attract men,Text Not Found,come
1390,"In fact, market too dey tank, always dey tank.
","In fact, ""the market has always tanked. Always","In fact, ""the market has always tanked",Always,"In fact, dey dey market tank, too tank, tank.",always,
1391,"Dey always, no exception dey.
",Always. There's never been an exception,Always,There's never been an exception,"always, dey.","Dey dey. no always, dey. exception",
1471,"Money no be everything o, but e must
","Money is not everything, but it is necessary",Money is not everything,it is necessary,"Money be no everything o,","e o, must",but
1588,"dem wey be Oga Hahn bin don meet demself for inside di institute
",whom Mr. Hahn had met while fundraising for the institute,whom Mr. Hahn had met,fundraising for the institute,dem Oga Hahn be meet,wey bin demself for di institute,inside
1598,"But friends talk sey na understatement dat one dey call am photocopy.
","but friends say that's an understatement. They call it ""photographic",but friends say that's an understatement,"They call it ""photographic",But friends talk sey dat na understatement photocopy.,one call photocopy. am photocopy.,
1657,"When e dey break down for daylight, e no dey recycle.
","While it breaks down in prolonged sunlight, it isn't recyclable",it isn't recyclable,it breaks down in prolonged sunlight,e no dey recycle.,"e break down for dey dey daylight,",When
1666,"This one go make the prison simple and e no go hard the people again to enter prison.
",It would ease jail overcrowding while preserving historic structures,It would ease jail overcrowding,preserving historic structures,This go make go prison the simple hard prison.,the to enter prison. people,and
1679,"Dem go need to check am well well before dem fit choose wetin good
","Once we do, they will receive very serious evaluation",they will receive very serious evaluation,we do,dem to fit well good choose,Dem go need,before
1714,"You stop to do research when person fit talk wetin e like
",Your research stopped when a convenient assertion could be made,Your research stopped,a convenient assertion could be made,You research stop,to person wetin talk e fit do like,when
1715,"Sey know better ting when de see am.
","that ""know a good thing when they see it","that ""know a good thing",they see it,Sey know am. Sey better ting,de see am.,when
1726,"Resolve our property before one day wey change go happen
",to redeem the shares before a conversion takes place,to redeem the shares,a conversion takes place,Resolve Resolve our property,one change go happen,before
1754,"It was censorship, it was outrageous.
",It was censorship. It was outrageous,It was censorship,It was outrageous,"It was censorship, outrageous.",it was outrageous.,
1755,"It was censorship, it was outrageous, and it was stupid.
",It was censorship. It was outrageous. And it was stupid,It was censorship.It was outrageous,it was stupid,Text Not Found,it was stupid.,and
1917,"If Congress no do anything, Presido Bush don win.
","If Congress does nothing, President Bush will have won",President Bush will have won,Congress does nothing,Presido Bush don no win.,"Congress do anything,",If
1942,"Farm money wey government dey pay farmers dey reduce
",as farm expenses rise and government payments to farmers decline,as farm expenses rise,government payments to farmers decline,wey Farm money dey wey,government pay dey farmers reduce,dey
1963,"Financial crisis, e never recover, editorially, e get moments,
","Financially, it never recovered; editorially, it had its moments","Financially, it never recovered","editorially, it had its moments","Financial crisis, e never recover,","editorially, e get moments, moments,",
1979,"Forgeti, e say as e take carry paper give am.
","Forget it,"" he said as he handed her a paper","Forget it,"" he said",he handed her a paper,"Forgeti, Forgeti, am. e say",e take am. carry paper,as
2047,"Don't even compromise, kill it!
",Don't even compromise. Kill it,Don't even compromise,Kill it,"Don't even compromise,",kill it!,
2165,"Arbitration no dey cause wahala, e dey respond
",Arbitrage doesn't cause volatility; it responds to it,Arbitrage doesn't cause volatility,it responds to it,"Arbitration no dey cause wahala,",e dey respond dey,
2179,"Eliminate arbitrage, and liquidity go decrease instead of am to increase.
",Eliminate arbitrage and liquidity will decline instead of rising,Eliminate arbitrage,liquidity will decline instead of rising,"Eliminate arbitrage,",liquidity go decrease instead of increase.,and
2236,"to fill form before di money wey dey im hand
",to make filings before the fees take effect,to make filings,the fees take effect,to fill form dey,di money wey hand,before
2244,"PEOGRAPH COLLING don get new value as dem dey sell am
",PHOTOGRAPH COLLECTING gains new stature as prices rise,PHOTOGRAPH COLLECTING gains new stature,prices rise,PEOGRAPH dey COLLING don sell get new value dey,dem am,as
2292,"Dem threaten dem, but nobody do anytin
","they threatened, but no one did anything",they threatened,no one did anything,"Dem threaten dem,",nobody nobody do anytin,but
2340,"Superconductor dey give light when weather dey hot
",Superconductors conduct electricity without resistance when cooled,Superconductors conduct electricity without resistance,cooled,Superconductor dey give light dey dey,weather hot,when
2384,"Svenska Tradebanken Limited. Fees 1 7/8
",Guaranteed by Svenska Handelsbanken. Fees 1 7/8,Guaranteed by Svenska Handelsbanken,Fees 1 7/8,Limited. Svenska Tradebanken Limited.,Fees 1 7/8,
2392,"Guarantee by Dai-Ichi Kangyo Bank Ltd. Fees 13%
",Guarantee by Dai-Ichi Kangyo Bank Ltd. Fees 1 3/4,Guarantee by Dai-Ichi Kangyo Bank Ltd,Fees 1 3/4,Guarantee by Dai-Ichi Kangyo Bank Ltd.,Fees 13% 13%,
2572,"Sey before I paint, make I spackle.
","That before I paint, I should  spackle",That I should spackle,I paint,Text Not Found,"I paint,",before
2679,": swap their property for future when e dey good
",swapping their stocks for futures when profitable to do so,swapping their stocks for futures,profitable to do so,swap their : property for future,e dey dey good,when
2700,"UAL talk later after market close yesterday
",UAL's announcement came after the market closed yesterday,UAL's announcement came,the market closed yesterday,UAL talk later,market close yesterday,after
2831,"But if e no carry we go sell am, we go sell am.
",but if they don't carry we're going to sell them,but we're going to sell them,they don't carry,Text Not Found,"e no am, carry",if
2962,"Volume 154,240,000, Dow Jones Industrials 2645, up to 0.82
","Volume 154,240,000 shares. Dow Jones industrials 2645.90, up 0.82","Volume 154,240,000 shares","Dow Jones industrials 2645.90, up 0.82","Volume 154,240,000, 154,240,000, Industrials","Dow Jones Industrials 2645, to up 0.82",
3053,": When we need help, e go beg Jehovah make e help am.
","When necessary, it sought and received assistance from organized crime",it sought and received assistance from organized crime,necessary,e make e need help beg Jehovah Jehovah,"help,",When
3226,"E believe wetin e dey play, and e dey play well.
","He believes in what he plays, and he plays superbly",He believes in what he plays,he plays superbly,"E believe wetin wetin dey play,",e play well.,and
3249,"Or na because Ms. Collins don go.
",Or was it because Ms. Collins had gone,Or was it,Ms. Collins had gone,Or na go.,Ms. Collins don go.,because
3262,"Wetin go happen next? Slide to illustrate Shostakovich quartet
",What's next? Slides to illustrate Shostakovich quartets,What's next,Slides to illustrate Shostakovich quartets,Wetin go happen next?,Wetin Slide to illustrate Shostakovich quartet,
3335,"Dey easy for corn because breeze dey carry am
",while easy in corn because the carrier is wind,while easy in corn,the carrier is wind,Dey easy for corn,breeze breeze carry am,because
3385,"My fastball, e good o.
",My fastball is good. Real good,My fastball is good,Real good,"My fastball, e fastball, good",o. o.,
3403,"But ball player no gree, most of dem na trimmo.
",But the ballplayers disagree. Most are trim,But the ballplayers disagree,Most are trim,"But gree, ball player no gree, trimmo.",most of trimmo.,
3404,"Mostly, na trimmo, some na month, de don dey train am.
",Most are trim. Some have been training for months,Most are trim,Some have been training for months,"Mostly, Mostly, trimmo, am.","some month, Mostly, train na month,",
3415,"So e come dey do as e suppose do, e no come dey crowd plate again
",So he adjusts. He no longer crowds the plate,So he adjusts,He no longer crowds the plate,"So e come suppose do,",e no again suppose crowd do plate,
